,stock,symbol
252,JSW Energy Ltd.,JSWENERGY.NS
253,JSW Holdings Ltd.,JSWHL.NS
254,JSW Infrastructure Ltd.,JSWINFRA.NS
255,JSW Steel Ltd.,JSWSTEEL.NS
256,Jaiprakash Power Ventures Ltd.,JPPOWER.NS
257,Jammu & Kashmir Bank Ltd.,J&KBANK.NS
258,Jindal Saw Ltd.,JINDALSAW.NS
259,Jindal Stainless Ltd.,JSL.NS
260,Jindal Steel & Power Ltd.,JINDALSTEL.NS
261,Jio Financial Services Ltd.,JIOFIN.NS
262,Jubilant Foodworks Ltd.,JUBLFOOD.NS
263,Jubilant Ingrevia Ltd.,JUBLINGREA.NS
264,Jubilant Pharmova Ltd.,JUBLPHARMA.NS
265,Jupiter Wagons Ltd.,JWL.NS
266,Justdial Ltd.,JUSTDIAL.NS
267,Jyothy Labs Ltd.,JYOTHYLAB.NS
268,Jyoti CNC Automation Ltd.,JYOTICNC.NS
269,K.P.R. Mill Ltd.,KPRMILL.NS
270,KEI Industries Ltd.,KEI.NS
271,KNR Constructions Ltd.,KNRCON.NS
272,KPIT Technologies Ltd.,KPITTECH.NS
273,Kajaria Ceramics Ltd.,KAJARIACER.NS
274,Kalpataru Projects International Ltd.,KPIL.NS
275,Kalyan Jewellers India Ltd.,KALYANKJIL.NS
276,Kansai Nerolac Paints Ltd.,KANSAINER.NS
277,Karur Vysya Bank Ltd.,KARURVYSYA.NS
278,Kaynes Technology India Ltd.,KAYNES.NS
279,Kec International Ltd.,KEC.NS
280,Kfin Technologies Ltd.,KFINTECH.NS
281,Kirloskar Brothers Ltd.,KIRLOSBROS.NS
282,Kirloskar Oil Eng Ltd.,KIRLOSENG.NS
283,Kotak Mahindra Bank Ltd.,KOTAKBANK.NS
284,Krishna Institute of Medical Sciences Ltd.,KIMS.NS
285,L&T Finance Ltd.,LTF.NS
286,L&T Technology Services Ltd.,LTTS.NS
287,LIC Housing Finance Ltd.,LICHSGFIN.NS
288,LT Foods Ltd.,LTFOODS.NS
289,LTIMindtree Ltd.,LTIM.NS
290,Larsen & Toubro Ltd.,LT.NS
291,Latent View Analytics Ltd.,LATENTVIEW.NS
292,Laurus Labs Ltd.,LAURUSLABS.NS
293,Lemon Tree Hotels Ltd.,LEMONTREE.NS
294,Life Insurance Corporation of India,LICI.NS
295,Linde India Ltd.,LINDEINDIA.NS
296,Lloyds Metals And Energy Ltd.,LLOYDSME.NS
297,Lupin Ltd.,LUPIN.NS
298,MMTC Ltd.,MMTC.NS
299,MRF Ltd.,MRF.NS
300,Macrotech Developers Ltd.,LODHA.NS
301,Mahanagar Gas Ltd.,MGL.NS
302,Maharashtra Seamless Ltd.,MAHSEAMLES.NS
303,Mahindra & Mahindra Financial Services Ltd.,M&MFIN.NS
304,Mahindra & Mahindra Ltd.,M&M.NS
305,Manappuram Finance Ltd.,MANAPPURAM.NS
306,Mangalore Refinery & Petrochemicals Ltd.,MRPL.NS
307,Mankind Pharma Ltd.,MANKIND.NS
308,Marico Ltd.,MARICO.NS
309,Maruti Suzuki India Ltd.,MARUTI.NS
310,Mastek Ltd.,MASTEK.NS
311,Max Financial Services Ltd.,MFSL.NS
312,Max Healthcare Institute Ltd.,MAXHEALTH.NS
313,Mazagoan Dock Shipbuilders Ltd.,MAZDOCK.NS
314,Metropolis Healthcare Ltd.,METROPOLIS.NS
315,Minda Corporation Ltd.,MINDACORP.NS
316,Motherson Sumi Wiring India Ltd.,MSUMI.NS
317,Motilal Oswal Financial Services Ltd.,MOTILALOFS.NS
318,MphasiS Ltd.,MPHASIS.NS
319,Multi Commodity Exchange of India Ltd.,MCX.NS
320,Muthoot Finance Ltd.,MUTHOOTFIN.NS
321,NATCO Pharma Ltd.,NATCOPHARM.NS
322,NBCC (India) Ltd.,NBCC.NS
323,NCC Ltd.,NCC.NS
324,NHPC Ltd.,NHPC.NS
325,NLC India Ltd.,NLCINDIA.NS
326,NMDC Ltd.,NMDC.NS
327,NMDC Steel Ltd.,NSLNISP.NS
328,NTPC Green Energy Ltd.,NTPCGREEN.NS
329,NTPC Ltd.,NTPC.NS
330,Narayana Hrudayalaya Ltd.,NH.NS
331,National Aluminium Co. Ltd.,NATIONALUM.NS
332,Nava Ltd.,NAVA.NS
333,Navin Fluorine International Ltd.,NAVINFLUOR.NS
334,Nestle India Ltd.,NESTLEIND.NS
335,Netweb Technologies India Ltd.,NETWEB.NS
336,Network18 Media & Investments Ltd.,NETWORK18.NS
337,Neuland Laboratories Ltd.,NEULANDLAB.NS
338,Newgen Software Technologies Ltd.,NEWGEN.NS
339,Nippon Life India Asset Management Ltd.,NAM-INDIA.NS
340,Niva Bupa Health Insurance Company Ltd.,NIVABUPA.NS
341,Nuvama Wealth Management Ltd.,NUVAMA.NS
342,Oberoi Realty Ltd.,OBEROIRLTY.NS
343,Oil & Natural Gas Corporation Ltd.,ONGC.NS
344,Oil India Ltd.,OIL.NS
345,Ola Electric Mobility Ltd.,OLAELEC.NS
346,Olectra Greentech Ltd.,OLECTRA.NS
347,One 97 Communications Ltd.,PAYTM.NS
348,Oracle Financial Services Software Ltd.,OFSS.NS
349,PB Fintech Ltd.,POLICYBZR.NS
350,PCBL Chemical Ltd.,PCBL.NS
351,PG Electroplast Ltd.,PGEL.NS
352,PI Industries Ltd.,HARIOMPIPE.NS
353,PNB Housing Finance Ltd.,PNBHOUSING.NS
354,PNC Infratech Ltd.,PNCINFRA.NS
355,PTC Industries Ltd.,PTCIL.NS
356,PVR INOX Ltd.,PVRINOX.NS
357,Page Industries Ltd.,PAGEIND.NS
358,Patanjali Foods Ltd.,PATANJALI.NS
359,Persistent Systems Ltd.,PERSISTENT.NS
360,Petronet LNG Ltd.,PETRONET.NS
361,Pfizer Ltd.,PFIZER.NS
362,Phoenix Mills Ltd.,PHOENIXLTD.NS
363,Pidilite Industries Ltd.,PIDILITIND.NS
364,Piramal Enterprises Ltd.,PEL.NS
365,Piramal Pharma Ltd.,PPLPHARMA.NS
366,Poly Medicure Ltd.,POLYMED.NS
367,Polycab India Ltd.,POLYCAB.NS
368,Poonawalla Fincorp Ltd.,POONAWALLA.NS
369,Power Finance Corporation Ltd.,PFC.NS
370,Power Grid Corporation of India Ltd.,POWERGRID.NS
371,Praj Industries Ltd.,PRAJIND.NS
372,Premier Energies Ltd.,PREMIERENE.NS
373,Prestige Estates Projects Ltd.,PRESTIGE.NS
374,Punjab National Bank,PNB.NS
375,Quess Corp Ltd.,QUESS.NS
376,R R Kabel Ltd.,RRKABEL.NS
377,RBL Bank Ltd.,RBLBANK.NS
378,REC Ltd.,RECLTD.NS
379,RHI MAGNESITA INDIA LTD.,RHIM.NS
380,RITES Ltd.,RITES.NS
381,Radico Khaitan Ltd,RADICO.NS
382,Rail Vikas Nigam Ltd.,RVNL.NS
